Year,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
2012,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,Adm,5,,,4,,,,,
2012,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,Enr,,,,,,,,,
2012,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,App,27,,,,,25,,,
2012,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,Adm,5,,,,,,,,
2012,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,Enr,,,,,,,,,
2012,BONITA HIGH SCHOOL,La Verne,Los Angeles,App,42,5,,16,,10,10,,
2012,BONITA HIGH SCHOOL,La Verne,Los Angeles,Adm,6,,,,,3,,,
2012,BONITA HIGH SCHOOL,La Verne,Los Angeles,Enr,,,,,,,,,
2012,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,App,58,,,29,,18,5,,
2012,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,Adm,10,,,5,,4,,,
2012,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,Enr,3,,,,,,,,
2012,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,App,27,,,,,12,12,,
2012,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,Adm,4,,,,,3,,,
2012,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,Enr,,,,,,,,,
2012,BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,App,13,,,,,,8,,
2012,BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,Adm,,,,,,,,,
2012,BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,Enr,,,,,,,,,
2012,BUENA PARK HIGH SCHOOL,Buena Park,Orange,App,25,,,9,,11,,,
2012,BUENA PARK HIGH SCHOOL,Buena Park,Orange,Adm,3,,,,,,,,
2012,BUENA PARK HIGH SCHOOL,Buena Park,Orange,Enr,,,,,,,,,
2012,BUHACH COLONY HIGH SCHOOL,Atwater,Merced,App,20,,,,,9,5,,
2012,BUHACH COLONY HIGH SCHOOL,Atwater,Merced,Adm,7,,,,,,4,,
2012,BUHACH COLONY HIGH SCHOOL,Atwater,Merced,Enr,3,,,,,,,,
2012,BULLARD HIGH SCHOOL,Fresno,Fresno,App,50,,,10,,11,27,,
2012,BULLARD HIGH SCHOOL,Fresno,Fresno,Adm,5,,,,,,4,,
2012,BULLARD HIGH SCHOOL,Fresno,Fresno,Enr,,,,,,,,,
2012,BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,App,62,,,10,,15,33,,
2012,BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,Adm,13,,,,,5,4,,
2012,BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,Enr,4,,,,,3,,,
2012,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,App,64,,,8,,17,34,,
2012,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,Adm,9,,,,,4,3,,
2012,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,Enr,3,,,,,,,,
2012,C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,App,74,,,10,,39,20,,
2012,C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,Adm,11,,,,,5,5,,
2012,C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,Enr,3,,,,,,,,
2012,CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,App,13,,,,,,6,,
2012,CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,Adm,4,,,,,,,,
2012,CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,Enr,,,,,,,,,
2012,CAJON HIGH SCHOOL,San Bernardino,San Bernardino,App,26,5,,11,,,6,,
2012,CAJON HIGH SCHOOL,San Bernardino,San Bernardino,Adm,3,,,,,,,,
2012,CAJON HIGH SCHOOL,San Bernardino,San Bernardino,Enr,,,,,,,,,
2012,CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,App,108,,,,,13,81,6,
2012,CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,Adm,16,,,,,5,9,,
2012,CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,Enr,5,,,,,,,,
2012,CALAVERAS HIGH SCHOOL,San Andreas,Calaveras,App,10,,,,,,6,,
2012,CALAVERAS HIGH SCHOOL,San Andreas,Calaveras,Adm,,,,,,,,,
2012,CALAVERAS HIGH SCHOOL,San Andreas,Calaveras,Enr,,,,,,,,,
2012,CALEXICO HIGH SCHOOL,Calexico,Imperial,App,39,,,36,,,,,
2012,CALEXICO HIGH SCHOOL,Calexico,Imperial,Adm,12,,,11,,,,,
2012,CALEXICO HIGH SCHOOL,Calexico,Imperial,Enr,,,,,,,,,
2012,CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,App,84,15,,23,,35,7,,
2012,CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,Adm,19,3,,4,,10,,,
2012,CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,Enr,10,,,,,4,,,
2012,CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,App,114,,,7,,64,30,6,
2012,CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,Adm,17,,,,,12,,,
